instance_name	LB	best_sol	best_spread	best_algo	FF	FFD-Degree	BFD-Avg	WFD-AvgExpo	NCD-DotProduct	NCD-Fitness	SpreadWFD-Avg	FF_time	FFD-Degree_time	BFD-Avg_time	WFD-AvgExpo_time	NCD-DotProduct_time	NCD-Fitness_time	SpreadWFD-Avg_time
large_scale_10000_arbitrary_d005_0	4735	4829	4829	WFD-AvgExpo	4848	4866	4848	4829	4846	4846	4840	2.0	2.0	2.0	18.0	13.0	11.0	118.0
large_scale_10000_arbitrary_d005_1	4565	4695	4695	WFD-AvgExpo	4710	4715	4710	4695	4701	4701	4837	2.0	2.0	2.0	17.0	11.0	9.0	157.0
large_scale_10000_arbitrary_d005_2	4646	4754	4710	SpreadWFD-Avg	4778	4776	4778	4754	4773	4773	4710	2.0	2.0	2.0	18.0	12.0	11.0	132.0
large_scale_10000_arbitrary_d005_3	4460	4573	4573	WFD-AvgExpo	4598	4597	4598	4573	4594	4594	4786	2.0	2.0	2.0	19.0	11.0	10.0	172.0
large_scale_10000_arbitrary_d005_4	4719	4794	4723	SpreadWFD-Avg	4809	4804	4809	4794	4804	4804	4723	2.0	2.0	2.0	18.0	12.0	10.0	102.0
large_scale_10000_arbitrary_d005_5	4699	4864	4791	SpreadWFD-Avg	4891	4885	4891	4864	4890	4890	4791	2.0	2.0	2.0	19.0	12.0	11.0	135.0
large_scale_10000_arbitrary_d005_6	4686	4783	4722	SpreadWFD-Avg	4811	4806	4811	4783	4802	4802	4722	2.0	2.0	3.0	20.0	14.0	12.0	116.0
large_scale_10000_arbitrary_d005_7	4859	4930	4930	WFD-AvgExpo	4943	4937	4943	4930	4935	4935	4996	2.0	2.0	3.0	21.0	13.0	12.0	156.0
large_scale_10000_arbitrary_d005_8	4365	4446	4446	WFD-AvgExpo	4466	4476	4466	4446	4464	4464	4605	2.0	2.0	2.0	19.0	13.0	11.0	177.0
large_scale_10000_arbitrary_d005_9	4780	4902	4875	SpreadWFD-Avg	4915	4917	4915	4902	4911	4911	4875	2.0	2.0	3.0	21.0	14.0	12.0	138.0
large_scale_10000_normal_d005_0	4735	4830	4830	WFD-AvgExpo	4847	4865	4847	4830	4849	4849	4836	2.0	2.0	3.0	21.0	15.0	13.0	140.0
large_scale_10000_normal_d005_1	4565	4695	4695	WFD-AvgExpo	4711	4715	4711	4695	4704	4704	4839	2.0	2.0	2.0	20.0	12.0	11.0	154.0
large_scale_10000_normal_d005_2	4646	4754	4655	SpreadWFD-Avg	4778	4778	4778	4754	4775	4775	4655	2.0	2.0	3.0	20.0	13.0	12.0	141.0
large_scale_10000_normal_d005_3	4460	4579	4579	WFD-AvgExpo	4597	4595	4597	4579	4597	4597	4642	2.0	2.0	3.0	20.0	13.0	11.0	156.0
large_scale_10000_normal_d005_4	4719	4791	4737	SpreadWFD-Avg	4809	4817	4809	4791	4806	4806	4737	2.0	2.0	3.0	21.0	14.0	12.0	121.0
large_scale_10000_normal_d005_5	4699	4867	4828	SpreadWFD-Avg	4892	4880	4892	4867	4885	4885	4828	2.0	2.0	3.0	21.0	13.0	11.0	142.0
large_scale_10000_normal_d005_6	4686	4781	4720	SpreadWFD-Avg	4812	4807	4812	4781	4805	4805	4720	2.0	2.0	3.0	20.0	14.0	12.0	141.0
large_scale_10000_normal_d005_7	4859	4930	4930	WFD-AvgExpo	4944	4940	4944	4930	4936	4936	4996	2.0	2.0	3.0	22.0	13.0	11.0	165.0
large_scale_10000_normal_d005_8	4365	4445	4380	SpreadWFD-Avg	4464	4473	4464	4445	4463	4463	4380	2.0	2.0	2.0	18.0	14.0	12.0	113.0
large_scale_10000_normal_d005_9	4780	4899	4859	SpreadWFD-Avg	4916	4920	4916	4899	4909	4909	4859	2.0	2.0	3.0	21.0	14.0	12.0	144.0
large_scale_10000_threshold_d005_0	4735	4831	4777	SpreadWFD-Avg	4849	4852	4849	4831	4849	4849	4777	2.0	2.0	2.0	19.0	12.0	11.0	126.0
large_scale_10000_threshold_d005_1	4565	4693	4581	SpreadWFD-Avg	4712	4710	4712	4693	4701	4701	4581	2.0	2.0	2.0	18.0	10.0	10.0	127.0
large_scale_10000_threshold_d005_2	4646	4756	4648	SpreadWFD-Avg	4775	4780	4775	4756	4775	4775	4648	2.0	2.0	3.0	19.0	12.0	11.0	136.0
large_scale_10000_threshold_d005_3	4460	4580	4473	SpreadWFD-Avg	4595	4589	4595	4580	4594	4594	4473	2.0	2.0	2.0	18.0	10.0	10.0	141.0
large_scale_10000_threshold_d005_4	4719	4791	4725	SpreadWFD-Avg	4809	4811	4809	4791	4810	4810	4725	2.0	2.0	2.0	19.0	11.0	11.0	136.0
large_scale_10000_threshold_d005_5	4699	4862	4801	SpreadWFD-Avg	4888	4895	4888	4862	4886	4886	4801	2.0	2.0	2.0	20.0	11.0	10.0	129.0
large_scale_10000_threshold_d005_6	4686	4783	4699	SpreadWFD-Avg	4813	4814	4813	4783	4807	4807	4699	2.0	2.0	2.0	18.0	11.0	10.0	130.0
large_scale_10000_threshold_d005_7	4859	4927	4861	SpreadWFD-Avg	4942	4943	4942	4927	4939	4939	4861	2.0	2.0	2.0	20.0	11.0	10.0	125.0
large_scale_10000_threshold_d005_8	4365	4445	4377	SpreadWFD-Avg	4464	4467	4464	4445	4464	4464	4377	2.0	2.0	2.0	17.0	12.0	11.0	123.0
large_scale_10000_threshold_d005_9	4780	4904	4786	SpreadWFD-Avg	4918	4916	4918	4904	4906	4906	4786	1.0	2.0	2.0	19.0	11.0	10.0	127.0
large_scale_50000_arbitrary_d005_0	22905	23338	23069	SpreadWFD-Avg	23439	23444	23439	23338	23427	23427	23069	81.0	80.0	119.0	1095.0	922.0	690.0	5681.0
large_scale_50000_arbitrary_d005_1	22699	23104	22731	SpreadWFD-Avg	23195	23208	23195	23104	23178	23178	22731	73.0	72.0	111.0	961.0	869.0	672.0	5035.0
large_scale_50000_arbitrary_d005_2	23200	23712	23420	SpreadWFD-Avg	23795	23792	23795	23712	23808	23808	23420	85.0	87.0	135.0	1135.0	977.0	791.0	5855.0
large_scale_50000_arbitrary_d005_3	22243	22652	22307	SpreadWFD-Avg	22764	22775	22764	22652	22747	22747	22307	83.0	83.0	135.0	1119.0	1002.0	770.0	5195.0
large_scale_50000_arbitrary_d005_4	22878	23375	23138	SpreadWFD-Avg	23514	23515	23514	23375	23482	23482	23138	86.0	85.0	130.0	1169.0	935.0	758.0	5416.0
large_scale_50000_arbitrary_d005_5	23297	23833	23547	SpreadWFD-Avg	23952	23910	23952	23833	23917	23917	23547	52.0	52.0	71.0	568.0	296.0	234.0	3513.0
